  PID TTY      STAT   TIME COMMAND
16785 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
16870 ?        Ss     0:00 lxc-start -n lxc54-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
16921 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
16992 ?        Ss     0:00 lxc-start -n lxc55-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17036 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17114 ?        Ss     0:00 lxc-start -n lxc56-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17159 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17236 ?        Ss     0:00 lxc-start -n lxc57-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17289 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17358 ?        Ss     0:00 lxc-start -n lxc58-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17402 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17480 ?        Ss     0:00 lxc-start -n lxc59-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17521 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17602 ?        Ss     0:00 lxc-start -n lxc60-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17651 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17724 ?        Ss     0:00 lxc-start -n lxc61-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17756 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17846 ?        Ss     0:00 lxc-start -n lxc62-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17884 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17964 ?        Ss     0:00 lxc-start -n lxc63-0 -d /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
17971 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18002 ?        S      0:00 [worker]
18003 ?        S      0:00 [workertimeline]
18009 ?        S      0:00 [worker]
18010 ?        S      0:00 [workertimeline]
18021 ?        S      0:00 [worker]
18022 ?        S      0:00 [workertimeline]
18043 ?        S      0:00 [worker]
18044 ?        S      0:00 [workertimeline]
18085 ?        S      0:00 [worker]
18086 ?        S      0:01 [workertimeline]
18172 ?        S      0:00 [worker]
18173 ?        S      0:02 [workertimeline]
18285 ?        Ss     0:00 cron
18346 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18347 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18349 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18350 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18354 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 7 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc7-0 2>&1
18355 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 15 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc15-0 2>&1
18356 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 1 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc1-0 2>&1
18357 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 0 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc0-0 2>&1
18358 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 7 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18359 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 15 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18360 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18362 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 0 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18363 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 1 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18366 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 3 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc3-0 2>&1
18372 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 3 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18397 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18409 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 32 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc32-0 2>&1
18417 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 32 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18479 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18481 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18482 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18485 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 2 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc2-0 2>&1
18486 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 8 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc8-0 2>&1
18487 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 16 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc16-0 2>&1
18488 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18490 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 2 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18491 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 8 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18492 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 16 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18493 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 4 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc4-0 2>&1
18497 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 4 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18515 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18526 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 33 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc33-0 2>&1
18532 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 33 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18589 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18590 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18593 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 9 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc9-0 2>&1
18594 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 17 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc17-0 2>&1
18595 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18597 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 9 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18598 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 17 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18599 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 5 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc5-0 2>&1
18602 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 5 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18615 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18624 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 34 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc34-0 2>&1
18628 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 34 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18677 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18678 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18679 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18683 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 31 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc31-0 2>&1
18684 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 10 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc10-0 2>&1
18685 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 18 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc18-0 2>&1
18686 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18688 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 31 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18689 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 10 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18690 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 18 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18691 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 6 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc6-0 2>&1
18695 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 6 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18716 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18727 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 35 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc35-0 2>&1
18731 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 35 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18787 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18788 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18789 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18793 ?        T      0:00 sh -c python /home/vignesh/Desktop/PLCs/awlsim-0.42/Projects/Bottle_Plant/conf/PLC_Config/udp_reader.py >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc63-0 2>&1
18794 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 11 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc11-0 2>&1
18795 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 19 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc19-0 2>&1
18796 ?        T      0:00 python /home/vignesh/Desktop/PLCs/awlsim-0.42/Projects/Bottle_Plant/conf/PLC_Config/udp_reader.py
18797 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 11 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18798 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 19 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18812 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18820 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 36 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc36-0 2>&1
18824 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 36 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18857 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18858 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18861 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 12 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc12-0 2>&1
18862 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 20 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc20-0 2>&1
18863 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 12 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18864 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 20 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18880 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18886 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 37 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc37-0 2>&1
18890 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 37 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18923 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18925 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 21 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc21-0 2>&1
18926 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 21 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18932 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18937 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 38 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc38-0 2>&1
18938 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 38 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18967 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18969 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18971 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 13 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc13-0 2>&1
18972 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 22 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc22-0 2>&1
18973 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 13 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18974 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 22 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
18989 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
18996 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 39 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc39-0 2>&1
19000 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 39 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
19033 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
19035 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 23 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc23-0 2>&1
19036 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 23 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
19042 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
19044 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 43 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc43-0 2>&1
19048 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 43 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
19077 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
19079 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 25 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc25-0 2>&1
19080 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 25 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
19085 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
19088 ?        T      0:00 sh -c /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 44 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl >> /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/data/lxc44-0 2>&1
19090 ?        TN     0:00 /bin/sh /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/run.sh -e 0 --node 44 /home/vignesh/Desktop/PLCs/awlsim-0.42/tests/modbus/bottle_plant_node/bottle_plant_node.awl
19121 ?        T      0:00 /home/vignesh/Desktop/PLCs/awlsim-0.42/s3fnet-lxc/lxc-command/reader
